Temp,Sat_press,Sat_liquid,Sat_vapour,Sat_liquid,Evap,Sat_vapour,Sat_liquid,Evap,Sat_vapour,Sat_liquid,Evap,Sat_vapour ,
T°C,Psat kPa,Vf,Vg,Uf,Ufg,Ug,hf,hfg,hg,Sf,Sfg,Sg ,
0.01,0.6117,0.001,206,0,2374.9,2374.9,0.001,2500.9,2500.9,0,9.1556,9.1556,
5,0.8728,0.001,147.03,21.019,2360.8,2381.8,21.02,2489.1,2510.1,0.0763,8.9487,9.0249,
10,1.2281,0.001,106.32,42.02,2346.6,2388.7,42.022,2477.2,2519.2,0.1511,8.7488,8.8999,
15,1.7057,0.001001,77.885,62.98,2332.5,2395.5,62.982,2465.4,2528.3,0.2245,8.5559,2.7803,
20,2.3392,0.001002,57.762,83.913,2318.4,2402.3,83.915,2453.5,2537.4,0.2965,8.3696,8.6661,
25,3.1698,0.001003,43.34,104.83,2304.3,2409.1,104.83,2441.7,2546.5,0.3672,8.1895,2.5567,
30,4.2469,0.001004,32.879,125.73,2200.2,2415.9,125.78,2429.8,2555.6,0.4368,8.0152,8.452,
35,5.6291,0.001006,25.208,148.63,2276,2422.7,146.64,2417.9,2564.6,0.5051,7.8466,8.3517,
40,7.3851,0.001008,19.515,167.53,2261.9,2429.4,167.53,2405,2573.5,0.5724,7.6832,8.2556,
45,9.5953,0.00101,15.251,188.43,2247.7,2496.1,188.44,2394,2582.4,0.6386,7.5287,8.1633,
50,12.362,0.001012,12.026,209.33,2283.4,2442.7,209.34,2382,2591.3,0.7038,7.371,8.0748,
55,18.763,0.001015,9.5639,230.24,2219.1,2449.3,230.26,2369.8,2600.1,0.768,7.2218,7.9898,
60,19.947,0.001017,7.667,251.16,2208.7,2455.9,251.18,2357.7,2608.8,0.8313,7.0769,7.9082,
65,25.043,0.00102,6.1935,272.09,2190.3,2462.4,272.12,2345.4,2617.5,0.8937,6.936,7.8296,
70,31.202,0.001023,5.0396,293.04,2175.8,2468.9,293.07,2333,2626.1,0.9551,6.7989,7.754,
75,38.597,0.001026,4.1291,312.99,2161.3,2475.3,314.03,2320.6,2634.6,1.0158,6.6655,7.6812,
80,47.416,0.001029,3.4053,334.97,2146.6,2481.6,335.02,7308,2643,1.0756,6.5356,7.6111,
85,57.868,0.001032,2.8261,355.96,2131.9,2487.8,356.02,2295.3,2651.4,1.1346,6.4089,7.5435,
90,70.183,0.001036,2.3593,376.97,2117,2494,377.04,2282.5,2659.6,1.1929,6.2853,7.4782,
95,84.609,0.00104,1.9808,398,2102,2500.1,398.09,2269.6,2667.6,1.2504,6.1647,7.4151,
100,101.42,0.001043,1.672,419.06,2087,2506,419.17,2256.4,2675.6,1.3072,6.047,7.3542,
105,120.9,0.001047,14185,440.15,2071.8,2511.9,440.28,2243.1,2683.4,1.3634,5.9319,7.2952,
110,143.38,0.001052,1.2094,461.27,2086.4,2517.7,461.42,2229.7,2691.1,1.4188,5.8193,7.2382,
115,169.18,0.001056,1.036,482.42,2040.9,2523.3,482.59,2216,2698.6,1.4737,5.7092,7.1829,
120,198.67,0.00106,0.89133,503.6,2025.3,2528.9,503.81,2202.1,2706,1.5279,5.6013,7.1202,
125,232.23,0.001065,0.77012,524.83,2009.5,2534.3,625.07,2188.1,2713.1,1.5816,5.4956,7.0771,
130,270.28,0.00107,0.66808,546.1,1993.4,2639.5,546.38,2173.7,2720.1,1.6346,5.3919,7.0265,
185,313.22,0.001075,0.58179,567.41,1977.3,2544.7,567.75,2159.1,2726.9,1.6872,5.2901,6.9773,
140,361.53,0.00108,0.5085,588.77,1960.9,2549.6,589.16,2144.3,2733.5,1.7392,5.1901,6.9294,
145,415.68,0.001085,0.446,610.19,1944.2,2554.4,610.64,2129.2,2739.8,1.7908,5.0919,6.8827,
150,476.16,0.001091,0.39248,631.66,1927.4,2559.1,692.18,2113.8,2745.9,1.8418,4.9953,6.8371,
155,543.49,0.001086,0.34648,653.19,1910.3,2563.5,653.79,2098,2751.8,1.8924,4.9002,6.7927,
160,618.23,0.001102,0.3068,674.79,1893,2567.8,675.47,2082,2757.5,1.9826,4.8066,6.7492,
165,700.93,0.001108,0.27244,696.46,1875.4,2571.9,697.24,2065.6,2762.8,1.9923,4.7143,6.7067,
170,792.18,0.001114,0.2426,718.2,1887.5,2575.7,719.08,2048.8,2767.9,2.0817,4.6233,6.665,
175,892.6,0.001121,0.21659,740.02,1839.4,2679.4,741.02,2031.7,2772.7,2.0906,4.5335,6.6242,
180,1002.8,0.001127,0.19384,761.92,1820.9,2582.8,763.05,2016.2,2777.2,2.1392,4.4448,6.5841,
185,1123.5,0.001134,0.1739,783.91,1802.1,2586,785.19,1996.2,2781.4,2.1875,4.3872,6.5447,
190,1255.2,0.001141,0.15636,806,1783,2589,807.43,1977.9,2785.3,2.2365,4.2705,6.5059,
195,1398.8,0.001149,0.14089,828.18,1763.6,2591.7,829.78,1959,2788.8,2.2831,4.1847,6.4678,
200,1554.9,0.001187,0.12721,850.46,1743.7,2804.2,852.26,1939.8,2792,2.3305,4.0997,6.4302,
205,1724.3,0.001164,0.11508,872.86,1723.5,2596.4,874.87,1920,2794.8,2.3776,4.0154,6.393,
210,1907.7,0.001173,0.10429,895.38,1702.9,2598.3,897.61,1899.7,2797.3,2.4245,3.9318,6.3563,
215,2105.9,0.001181,0.09468,918.02,1681.9,2599.9,920.5,1878.8,2799.3,2.4712,3.8489,6.32,
220,2319.6,0.00119,0.086094,940.79,1660.5,2601.3,943.55,1857.4,2801,2.5176,3.7664,6.284,
225,2549.7,0.001199,0.078405,963.7,1638.6,2602.3,966.76,1835.4,2802.2,2.5639,3.6844,6.2483,
230,2797.1,0.001209,0.071505,986.76,1616.1,2602.9,990.14,1812.8,2802.9,2.61,3.6028,6.2128,
235,3062.6,0.001219,0.0653,1010,1593.2,2603.2,1013.7,1789.5,2803.2,2.656,3.5216,6.1775,
240,3347,0.001229,0.059707,1033.4,1569.8,2603.1,1037.5,1765.5,2803,2.7018,3.4405,6.1424,
245,3651.2,0.00124,0.054656,1056.9,1545.7,2602.7,1061.5,1740.8,2802.2,2.7476,3.3596,6.1072,
250,3976.2,0.001252,0.050085,1080.7,1521.1,2601.8,1085.7,1715.3,2801,2.7933,3.2788,6.0721,
255,4322.9,0.001263,0.045941,1104.7,1495.8,2600.5,1110.1,1689,2799.1,2.839,3.1979,6.0369,
260,4692.3,0.001276,0.042175,1128.8,1469.9,2598.7,1134.8,1661.8,2796.6,2.8847,3.1169,6.0017,
265,5085.3,0.001289,0.038748,1153.3,1443.2,2596.5,1159.8,1633.7,2793.5,2.9304,3.0358,5.9662,
270,5503,0.001303,0.035622,1177.9,1415.7,2593.7,1185.1,1604.6,2789.7,2.9762,2.9542,5.9305,
275,5946.4,0.001317,0.032767,1202.9,1387.4,2590.3,1210.7,1574.5,2785.2,3.0221,2.8723,5.8944,
280,6416.6,0.001333,0.030153,1228.2,1358.2,2586.4,1236.7,1543.2,2779.9,3.0681,2.7898,5.8579,
285,6914.6,0.001349,0.027756,1253.7,1328.1,2581.8,1263.1,1510.7,2773.7,3.1144,2.7066,5.821,
290,7441.8,0.001366,0.025554,1279.7,1296.9,2576.5,1289.8,1476.9,2766.7,3.1608,2.6225,5.7834,
295,7999,0.001384,0.023528,1306,1264.5,2570.5,1317.1,1441.6,2758.7,3.2076,2.5374,5.745,
300,8587.9,0.001404,0.021659,1332.7,1230.9,2563.6,1344.8,1404.8,2749.6,3.2548,2.4511,5.7059,
305,9209.4,0.001425,0.019932,1360,1195.9,2555.8,1373.1,1366.3,2739.4,3.3024,2.3633,5.6657,
310,9865,0.001447,0.018333,1387.7,1159.3,2547.1,1402,1325.9,2727.9,3.3506,2.2737,5.6243,
315,10556,0.001472,0.016849,1416.1,1121.1,2537.2,1431.6,1283.4,2715,3.3994,2.1821,5.5816,
320,11284,0.001499,0.01547,1445.1,1080.9,2526,1462,1238.5,2700.6,3.4491,2.0881,5.5372,
325,12051,0.001528,0.014183,1475,1038.5,2513.4,1493.4,1191,2684.3,3.4998,1.9911,5.4908,
330,12858,0.00156,0.012979,1505.7,993.5,2499.2,1525.8,1140.3,2666,3.5516,1.8906,5.4422,
335,13707,0.001597,0.011848,1537.5,945.5,2483,1559.4,1086,2645.4,3.605,1.7857,5.3907,
340,14601,0.001638,0.010783,1570.7,893.8,2464.5,1594.6,1027.4,2622,3.6602,1.6756,5.3358,
345,15541,0.001685,0.009772,1605.5,837.7,2443.2,1631.7,963.4,2595.1,3.7179,1.5585,5.2765,
350,16529,0.001741,0.008806,1642.4,775.9,2418.3,1671.2,892.7,2563.9,3.7788,1.4326,5.2114,
355,17570,0.001808,0.007872,1682.2,706.4,2388.6,1714,812.9,2526.9,3.8442,1.2942,5.1384,
360,18666,0.001895,0.00695,1726.2,625.7,2351.9,1761.5,720.1,2481.6,3.9165,1.1373,5.0537,
365,19822,0.002015,0.006009,1777.2,526.4,2303.6,1817.2,605.5,2422.7,4.0004,0.9489,4.9493,
370,21044,0.002217,0.004953,1844.5,385.6,2230.1,1891.2,443.1,2334.3,4.1119,0.689,4.8009,
373.95,22064,0.003106,0.003106,2015.7,0,2015.7,2084.3,0,2084.3,4.407,0,4.407,
1,6.97,0.001,129.19,29.302,2355.2,2384.5,29.303,2484.4,2513.7,0.1059,8.869,8.9749,
1.5,13.02,0.001001,87.964,54.686,2338.1,2392.8,54.688,2470.1,2524.7,0.1956,8.6314,8.827,
2,17.5,0.001001,66.99,73.431,2325.5,2398.9,73.433,2459.5,2532.9,0.2606,8.4621,8.7227,
2.5,21.08,0.001002,54.242,88.422,2315.4,2403.8,88.424,2451,2539.4,0.3118,8.3302,8.6421,
3,24.08,0.001003,45.654,100.98,2306.9,2407.9,100.98,2443.9,2544.8,0.3543,8.2222,8.5765,
4,28.96,0.001004,34.791,121.39,2293.1,2414.5,121.39,2432.3,2553.7,0.4224,8.051,8.4734,
5,32.87,0.001005,28.185,137.75,2282.1,2419.8,137.75,2423,2560.7,0.4762,7.9176,8.3938,
7.5,40.29,0.001008,19.233,168.74,2261.1,2429.8,168.75,2405.3,2574,0.5763,7.6738,8.2501,
10,45.81,0.00101,14.67,191.79,2245.4,2437.2,191.81,2392.1,2583.9,0.6492,7.4996,8.1488,
15,53.97,0.001014,10.02,225.93,2222.1,2448,225.94,2372.3,2598.3,0.7549,7.2522,8.0071,
20,60.06,0.001017,7.6481,251.4,2204.6,2456,251.42,2357.5,2608.9,0.832,7.0752,7.9073,
25,64.96,0.00102,6.2034,271.93,2190.4,2462.4,271.96,2345.5,2617.5,0.8932,6.937,7.8302,
30,69.09,0.001022,5.2287,289.24,2178.5,2467.7,289.27,2335.3,2624.6,0.9441,6.8234,7.7675,
40,75.86,0.001026,3.9933,317.58,2158.8,2476.3,317.62,2318.4,2636.1,1.0261,6.643,7.6691,
50,81.32,0.00103,3.2403,340.49,2142.7,2483.2,340.54,2304.7,2645.2,1.0912,6.5019,7.5931,
75,91.76,0.001037,2.2172,384.36,2111.8,2496.1,384.44,2278,2662.4,1.2132,6.2426,7.4558,
100,99.61,0.001043,1.6941,417.4,2088.2,2505.6,417.51,2257.5,2675,1.3028,6.0562,7.3589,
101.325,99.97,0.001043,1.6734,418.95,2087,2506,419.06,2256.5,2675.6,1.3069,6.0476,7.3545,
125,105.97,0.001048,1.375,444.23,2068.8,2513,444.36,2240.6,2684.9,1.3741,5.91,7.2841,
150,111.35,0.001053,1.1594,466.97,2052.3,2519.2,467.13,2226,2693.1,1.4337,5.7894,7.2231,
175,116.04,0.001057,1.0037,486.82,2037.7,2524.5,487.01,2213.1,2700.2,1.485,5.6865,7.1716,
200,120.21,0.001061,0.88578,504.5,2024.6,2529.1,504.71,2201.6,2706.3,1.5302,5.5968,7.127,
225,123.97,0.001064,0.79329,520.47,2012.7,2533.2,520.71,2191,2711.7,1.5706,5.5171,7.0877,
250,127.41,0.001067,0.71873,535.08,2001.8,2536.8,535.35,2181.2,2716.5,1.6072,5.4453,7.0525,
275,130.58,0.00107,0.65732,548.57,1991.6,2540.1,548.86,2172,0,2720.9,1.6408,5.38,7.0207
300,133.52,0.001073,0.60582,561.11,1982.1,2543.2,561.43,2163.5,2724.9,1.6717,5.32,6.9917,
325,136.27,0.001076,0.56199,572.84,1973.1,2545.9,573.19,2155:04:00,2728.6,1.7005,5.2645,6.965,
350,138.86,0.001079,0.52422,583.89,1964.6,2548.5,584.26,2147.7,2732,1.7274,5.2128,6.9402,
375,141.3,0.001081,0.49133,594.32,1956.6,2550.9,594.73,2140.4,2735.1,1.7526,5.1645,6.9171,
400,143.61,0.001084,0.46242,604.22,1948.9,2553.1,604.66,2133.4,2738.1,1.7765,5.1191,6.8955,
450,147.9,0.001088,0.41392,622.65,1934.5,2557.1,623.14,2120.3,2743.4,1.8205,5.0356,6.8561,
500,151.83,0.001093,0.37483,639.54,1921.2,2560.7,640.09,2108,2748.1,1.8604,4.9603,6.8207,
550,155.46,0.001097,0.34261,655.16,1908.8,2563.9,655.77,2096.6,2752.4,1.897,4.8916,6.7886,
600,158.83,0.001101,0.3156,669.72,1897.1,2566.8,670.38,2085.8,2756.2,1.9308,4.8285,6.7593,
650,161.98,0.001104,0.2926,683.37,1886.1,2569.4,684.08,2075.5,2759.6,1.9623,4.7699,6.7322,
700,164.95,0.001108,0.27278,696.23,1875.6,2571.8,697,2065.8,2762.8,1.9918,4.7153,6.7071,
750,167.75,0.001111,0.25552,708.4,1865.6,2574,709.24,2056.4,2765.7,2.0195,4.6642,6.6837,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
